"name_data","comment_data","date_data","rating_data","rating"
NA,"I mean, how do you pick up after a trilogy like that? Idk man. It was to the point of being cheesy. Good callbacks and nods to the OGs though, but just missed it I think.",NA,NA,NA
NA,"Im sorry Keanu, nobody could have made this plot good. The directors have genuinely lost it",NA,NA,NA
"Angie","Pure nostalgia","16 Mar 2024","★★",2
"AlexanderPh","Existen cosas peores pero vale la pena ver de nuevo a neo","16 Mar 2024","★★★½",3
"Dylan🏳️‍⚧️","don’t like it.","16 Mar 2024","★",1
"Hufflepuff42","This was exhausting. This whole experience was absolutely exhausting.","22 Apr 2023","★",1
"Noor Syed","61%","15 Mar 2024","★★½",2
"Asaf Lopez","Casting the gays and unemployed for their franchise sequel. Wachowski is an ally. But idk this was missing the vibes of trilogy. Too many cuts for a single fight scene. Most actors seem unbothered. Why did Priyanka chopra of all people have the most wordy asf dialogue? She monotonously delivered it too.","15 Mar 2024","★★½",2
"Jack Fairhurst","Me gustó mucho la película jajajaja pero si deja claro porque debió de quedarse muerta la saga hace 20 años.","15 Mar 2024","★★★",3
"belbatista","ultimately didn’t have a fucking clue what was going on here - the meta stuff was fun though","15 Mar 2024","★★★★",4
"bdon111","não sabia que precisava tanto dessa continuação","15 Mar 2024","★★½",2
"michaels_films","They tryna portray trinity as more powerful than neo wth, fuck u wokeism","15 Mar 2024","★★★½",3
"yohji2000","Had to turn it off, can't remember every doing that before","15 Mar 2024","½",0
"ihavehope","Maybe I’ll need a red pill at monzo on Monday","15 Mar 2024",NA,NA
NA,"Lord help me...",NA,NA,NA
NA,"You should try and be objective with these reviews and not take it personal. But I'm sorry, I'm human and this film felt like a personal insult to me.",NA,NA,NA
NA,"Hands down, one of the worst experiences I have ever had with a film. The half a star is for getting the film made and it had some nice imagery.",NA,NA,NA
NA,"Beyond that, this is a disgraceful attempt at a film, let alone existing in the Matrix universe. Absolutely…",NA,NA,NA
"FilmMythologist","What a load of utter crap.","","½",0
"David","The Matrix Resurrections has to be one of the most unnecessary films ever made. The original trilogy, although flawed, was fine by itself.","15 Mar 2024","★★★",3
"D","This new one doesn't really add anything worthwhile to the story. It's just a mix of a few interesting ideas, some fun action scenes, a sprinkling of cringey meta stuff, and a lot of vainglorious claptrap.","22 Dec 2021","★★★",3
"harryarchive","I don't like the recasts either, they just don't feel right. The creators just shouldn't have bothered if they couldn't get…","11 Jan 2024","★★½",2
"motherohmy","Believe it or not, changed my life. Not perfect, missing fight scenes. Keanu knows how to fight so why did I get another movie of Neo nothing believing he's the one?","15 Mar 2024","★★",2
"Avery","40/100Average","15 Mar 2024","★★★½",3
"wyxd14","""Here's the thing about feelings. They're so much easier to control than facts.""","15 Mar 2024","★★",2
"alex43","In the beginning, it seemed promising, tapping into the nostalgia of the previous Matrix films. However, as it progressed, the film became too straightforward with its ideas and themes. The ambiguity that made the earlier Matrix films great was lost. The second half, unfortunately, devolved into mindless Matrix tropes, and the initial fascination I had gave way to disappointment. The only success here is that it made me appreciate the brilliance of the other Matrix films even more.","14 Mar 2024","★",1
"Dr Christopher Parr","Why do they make keanu look the same in every newer film/media with him? Just felt like watching john wick and not an older neo","14 Mar 2024","★★★★½",4
"Canaverick","glee 🤝 this movie jonathan groff talking about his piercing blue eyes","15 Mar 2024","★★★",3
"Oliver","this script was so ass wtf","15 Mar 2024","★",1
"crazyant115","Really not a fan of this. I enjoyed the original trilogy thoroughly, and to be honest this just felt like an unnecessary revival, and a bit of a cash grab. The story was uninspired and frankly boring, and I found myself waiting for it to be over. Visually it was nice, but felt much less striking than the pioneering shots used in the original films.","15 Mar 2024","★★½",2
NA,"“Why use old code to make something new?”",NA,NA,NA
NA,"I'm an idiot.",NA,NA,NA
NA,"When I first saw The Matrix Resurrections back in 2021, I hated it. To be clear, I wasn't one of those who just wanted more Matrix. I wanted something new. Just not like that.",NA,NA,NA
NA,"In the intervening years, I've discovered Speed Racer (the Wachowskis’ masterpiece) and revisited their other films (Jupiter Ascending is actually pretty good!), so I thought I'd give Resurrections another shot.",NA,NA,NA
NA,"And learned that I'm an…",NA,NA,NA
NA,"Feels like to the original movies what the Star Wars prequels are to the original trilogy. Bit weirder, but still has a lot of cool original ideas, but fumbles the execution quite a bit. And it just doesn't feel like the Matrix anymore.I do hope they continue making these though. Interested to see how this ends.",NA,NA,NA
NA,"Maybe the dumbest franchise of all time. No more meta movies",NA,NA,NA
NA,"The Matrix: Resurrections is a curious attempt to revitalize a franchise that died on the operating table 20 years prior. Director Lana Wachowski goes back to the drawing board to rehash the events of the original trilogy while offering promising new ideas in the world of the matrix. While there are a lot of cool concepts in Resurrections, the film suffers from an overall lack of coherency. The first half of the film is nothing but hand-waving and a cheap…",NA,NA,NA
"esraisttoll","Not worth your time. As a fellow movie watcher who somehow likes the OG matrix Trilogy, this movie shoots piss all over it. It doesn't make sense from a story and character point of view. It's mindless CGI chaos. Makes the Matrix universe even more confusing and adds nothing of value.","","½",0
"David Keogh","Another huge swing.....massive respect Lana","15 Mar 2024","★★★½",3
"Davis","Y’all lied to me and said this was bad.","15 Mar 2024","★★★★",4
"Pablooff","Ta mère la salope","15 Mar 2024","½",0
"Pablooff","Ta mère la salope","15 Mar 2024","★★½",2
"Mr Goober","I weirdly enjoyed this more than I probably should've","15 Mar 2024","★★★",3
"cam","les films qu’ils font pour satisfaire les fans fous (moi)","15 Mar 2024","★★★",3
"siddhu","To me, it doesn't feel like it was from the Matrix film franchise.","15 Mar 2024","★★",2
"Axel JOLIDON","Le seul film que Keanu n'a pas pu sauver dans sa carrière, c'est dire le niveau abyssal","15 Mar 2024","★½",1
"James","Hogwash - shoulda stayed finished","15 Mar 2024","★",1
"aWAT08","Mfw one of the agents says ""I think I'm morpheos""","15 Mar 2024","★★",2
"Radit Amin",":|","15 Mar 2024","★★★★",4
NA,"With John at Savoy",NA,NA,NA
NA,"Pinnacle of sci fi 🤌Matrix is real",NA,NA,NA
"arsovski","A so ocekuvaja ko go najavija","15 Mar 2024","★★★★",4
"zoey_mart","Pak e prejak","02 Jan 2024","★★",2
"JamieSmith22","Of all the films, this is the one I liked least. It's slow and repetitive, it's hard to follow the events. Less strong than the others also on a moral level.","15 Mar 2024","★",1
"Gencay Bulut","i will not defend this film with my life","15 Mar 2024","★★½",2
"Sam","Ok! We've got it! You're not happy with all this Matrix legend but you didn't have to shoot a movie for this...","15 Mar 2024","★★★½",3
"Jackson Wilhelmi","So much to unpack here idk where to even begin lmao- shout out to ‘Bugs’ saying ‘what’s up doc’","15 Mar 2024","★★★★",4
"Calwalker9","I never thought we’d get another one of these. And while it can’t have the same vibe as the trilogy, it serves perfectly well as an epilogue.","15 Mar 2024","★★",2
"Hippytime","The vibe it does give (especially in the first half) is something so claustrophobic and real. This might be the most meta sequel of all time.","14 Mar 2024","★",1
"rbrbrbrb","At its source, this entire movie is just about bringing Neo and Trinity back together. Two characters that deserved better endings, and they get them, without disrupting…","14 Mar 2024","★",1
"Cora López","I struggled through this","14 Mar 2024","★★★",3
"aesqb","None of the magic of the first film with little to add and ultimately pretty damn boring.","14 Mar 2024","★★★★",4
"Jamestuddsworth","Made for idiotswho hate Dune","15 Mar 2024",NA,NA
NA,"sinister white gays neil patrick harris and jonathan groff threaten the cast of the late great series Sense8 and it doesn’t go well",NA,NA,NA
NA,"It's about love 😭",NA,NA,NA
NA,"HBO Max",NA,NA,NA
"Joekleeee","Eh","14 Mar 2024","★★",2
"alex","bad","","★",1
"littlekiddo99","Sequele po 20 latach to rzadko jest dobry pomysł","12 Jan 2022","★★½",2
"Mark Rance","Netflix","14 Mar 2024","★★",2
"Jake","Fanboy loopy-de-loop. Good to see the original actors have aged well. The young cast is good too. But the whole thing plays like a dramatized operating manual for a toy with no batteries.","14 Mar 2024","★★",2
"yusufhanjpg","They really blew it hard here.This wasn't The One™","15 Mar 2024","★★★",3
"lordgonzo","🤓🤓🤓","14 Mar 2024","★★",2
"Jazz","Leave Matrix alone!!!","14 Mar 2024","★★",2
"SkippyMcReide","I did it for Johnathan.","14 Mar 2024","★★",2
"john 🥖","What a cash grab.Only 1 good scene😴😴😴","14 Mar 2024","★★★",3
"MattAnt","bit confusing","14 Mar 2024","★★★",3
"kishpancho","Interesting... and with enough nostalgia to keep noises of knowing flowing.","14 Mar 2024","★★★",3
NA,"But the only question I have is did it need to be made?",NA,NA,NA
NA,"For the sake of providing a happy Hollywood ending. I say no. It defeats the point of what the original trilogy was about. And it wasn't a happy ending.",NA,NA,NA
NA,"Bring back the Our Legacy fits",NA,NA,NA
"pheebs","he knows kung-fu","14 Mar 2024","★★★½",3
"Rick","This review may contain spoilers. I can handle the truth.","14 Mar 2024","★★",2
"jjmincheff","Lana Wachowski machte ohne ihre Schwester den vierten Film der Matrix Reihe. Eigentlich war die Reihe mit dem dritten Film abgeschlossen und auch wenn offen bleibt, was mit Neo passiert, sind die Konflikte gelöst gewesen. Der Krieg zwischen Maschinen und Mensch war zu Ende, Smith besiegt und die Matrix kein Problem mehr.","14 Mar 2024","★★½",2
"Cal24092004","Warum jetzt also Teil Vier? Die Antwort darauf gibt der Film des Öfteren und spielt sich dabei selber aus. Anfangs von einem ähnlich mysteriösem Getue, ob Wahrheit oder…","14 Mar 2024","★★",2
"leeorders","Only slightly better than the second on an entertainment level, not quality. Still pretty ass","14 Mar 2024","★",1
"daperon","Genuinely the worst film I have ever watched I’ve only ever fell asleep once in the cinema and it was while watching this film. I love keanu Reeves but everything about this film was awful and boring and just shit. I would recommend forgetting this fim actually exists because it’s simply better that way.","14 Mar 2024","★★★",3
"insalatea","shouldnt exist","14 Mar 2024","★★★",3
"chao_xian","The only redeeming moments in this are the self-deprecating jokes about how this movie is a cash grab.","11 Mar 2024","★★★",3
"lillian","Just nostalgia and patting yourself on the back.","14 Mar 2024","★★½",2
"Evan_Ellis","Trinity","14 Mar 2024","★★",2
"Adam Yates","Such an epic way to conclude this series! This has been my favourite film series since i was a kid, i think it’s because the lines between reality and facade are SO blurred it leaves you having trust issues with yourself.","14 Mar 2024","★★★",3
"Jonathan Dacey","The concept of this specific film is so beautiful, a love between two people that is so strong the entire WORLD crumbles if they are not together. How they reach for eachother even whilst plugged into the matrix, how…","14 Mar 2024",NA,NA
NA,"Not AWFUL, action scenes are fun and NPH is good. Apart from that it's bad.",NA,NA,NA
NA,"This is another example of a creator of success not being told no.The film is so convoluted and up its own arse that if they wanted to make a fourth film, they need a good idea, no matter who it was from.",NA,NA,NA
NA,"Michael Bay (Transformers)Chris Carter (X Files)Craven (Scream)",NA,NA,NA
NA,"Just three examples where successful films came after they left their babies.",NA,NA,NA
NA,"Still torn on this…for every clever meta reference about sequels there is also a ton of retreading from the originals. Keanu is still the greatest at playing simultaneously knowing everything and nothing…but he’s also bad in lots of this. In a world of dichotomy between reality or make believe this is both a 5 star film and 1 star film.",NA,NA,NA
"Stan De Veirman","F*ck what a piece of shit","14 Mar 2024","★★",2
"Lucas","Just saw The Matrix Resurrections and it is definitely for Matrix lovers, this is definitely a movie for the fans of the original, I absolutely love the original movie so I found this one very exciting and entertaining, it’s clear it’s not looking to become one of the greats and not trying to be better then the original it’s just a movie that is just for people to sit down and enjoy. And also when did Keanu Reeves become the…","22 Dec 2021","★★★½",3
"itmeshaun","Fun love story with too much meta shit","14 Mar 2024","★★★",3
"Cinema.Paradise__","This movie was on my watchlist for such a long time, and I finally watched it. I gotta say, it was way better than what people have been saying about it.","12 Mar 2024","★★★★",4
"shashasha_","The Matrix Movies Ranked","14 Mar 2024","★",1
"Matthew Snow","if you like The Room you'll love this","14 Mar 2024","★★",2
"Luccas Hallow","Shocking follow up to the matrix not much more to say","13 Mar 2024","★★★★★",5
"DullahC9","The undying and everlasting power of love.","14 Mar 2024","★★★",3
"Reuben Levine","This review may contain spoilers. I can handle the truth.","13 Mar 2024","★★★½",3
"Katelynn🦇","honestly thought this was gna be shit. and it was. but it also wasnt. i was interested to see how they would explain neo being alive again since he died at the end of matrix 3, and they did it well. but then they had to go all woke and shit to remove his powers as the one and give them to trinity. proper ruined it for no reason other than to be super woke","13 Mar 2024","★★★",3
"Shea McAuley","What a joy to watch something genuinely different. At least as bold as the original, and more human than the previous two.","13 Mar 2024","★★★",3
"Diogo","Trinity🤤🥰🥰🥰🥰","13 Mar 2024","★★★",3
NA,"The Matrix Resurrections (2021) - C+",NA,NA,NA
NA,"After an eighteen year absence this movie has us return to the Matrix and follows a group of rebels who look to free Neo from a new version of the Matrix to fight a new enemy called The Analyst who holds Trinity captive.",NA,NA,NA
NA,"Firstly, I would like to praise the performances by Keanu Reeves and Carrie Ann Moss as Neo and Trinity as both give strong and emotional roles with their chemistry not missing…",NA,NA,NA
NA,"After almost 20 years we have the conclusion of the sequence, a worthy conclusion but with some flaws, I found the idea of Bots in the world of the Matrix super interesting, but the story is shallow, it brought a clown Morpheus, a useless Smith and the film is all about around Trinity's rescue. I didn't expect it to be like the first one, I just didn't want it to be a parody of itself.",NA,NA,NA
NA,"_________________________________________________",NA,NA,NA
NA,"[PT-BR]",NA,NA,NA
NA,"Após quase 20…",NA,NA,NA
"greencap","familiar faces pass through mirrors, dancing between the various iterations of themselves that are strewn across time, knowing the only way to unplug from the choices the world made for you is to reach out toward another hand, hoping that it’s reaching back. don’t peer through those sad, blue frames. you can fit through the small door.","30 Dec 2021","★★★★★",5
"CurtWilder","a gentle, loving gaze inward from Lana, a token of gratitude and a solemn goodbye. open hands give us a chance to be who we are. one of the greatest movies about movies that i’ve ever seen.","09 Mar 2024","★★★★★",5
"mstg1313","It was just there when I opened Netflix... So...Perfection.","14 Mar 2024","★",1
"troyProtector","I FUCKING HATE JUDE","14 Mar 2024","★",1
"z1ggyz1g","Utterly garbage. It was worse than watching Game of Thrones Season 8","13 Mar 2024","★★★½",3
"tomsaintxo","Not the best but it was designed that way. More of a middle finger to the studios and an apology and send off to the fans which I can respect","13 Mar 2024","★★★★",4
"Antony Harwood","I’m sorry but i fucked with it, you’re all big babies it’s not 1999 but it is the time for a modern classic reboot sequel cgi brain in the  vat wank fest - and I’m here for it","13 Mar 2024","★★★",3
"JoshuaB122","Really, genuinely, absolutely got swept up in the first third and found it’s weird, meta lens to be deeply fascinating and was prepared for the film to take some risks and do some really unusual things with its narrative, just to shake up expectations further and broaden what a Matrix film can be.","13 Mar 2024","★★★",3
"Ra_ul1206","But no, it sort of plays it by the numbers for the last 2 thirds of the film and I got very very bored. It sucks too…","13 Mar 2024","★½",1
"dillerabreu","This was not great but could have been so much worse. I think the idea is interesting still, but I could care less for the movie","02 Mar 2024","★★★½",3
"samarmaguire","Unwarranted sequel with no purpose except to grab some cash. Plain dull.","13 Mar 2024","★★½",2
"hanna","Isso é cinema galera…","13 Mar 2024","★★★★★",5
NA,"man, this almost had me. i was eating up nostalgia like a hungry idiot but it kept pushing me away. in the end, it was truly ass",NA,NA,NA
NA,"not as good as the ogs but i still enjoyed it",NA,NA,NA
"ewanharris","Absolute garbage. Someone mentioned it and it compelled me to write this out of spite","13 Mar 2024","★★",2
"Luka Stack","I wish I’d never seen it","13 Mar 2024","★",1
"harry","Terrible, forced third sequel in a series that had one good initial movie and a bunch of dreadful follow ups. The writing is so illogical and pretentious, the action choreography is so much worse and clunky, the acting is wooden and awkward and it's way too long. The meta aspect is interesting but is has so many bewildering choices like the first three films being video games while still visually looking like the films. An inconsistency that is never addressed. The whole thing just felt half assed and like they didn't care. Frankly I don't either.","13 Mar 2024","★★",2
"TheCynicalCinephile","really didn’t do much for me","13 Mar 2024","★★",2
"simoamelie","The sheeple aren't going anywhere. They like my world. They don't want this sentimentality. They don't want freedom or empowerment. They want to be controlled.","13 Mar 2024","★",1
"Ahmet Aydin","I was really digging the first act as it meta-analysed and recontextualized the original trilogy but as soon as it became a boring, confusing rescue mission I lost 99% interest.","13 Mar 2024","★★★★",4
"GOKU SUPERSAYAN","The main issue I have here is the visuals. Say what you want about original sequels but they all look like actual Matrix films. Resurrections…","13 Mar 2024","★★",2
"PaulDowie","why did I watch this again 😂 hilariously bad, like genuinely haven't seen anything this hideous/cheap-looking in ages","","★★★★",4
"Callum Thomas-wood","matrix sonuçta ölüsü yeterli","13 Mar 2024","★",1
"medihaysen","pues ya está, se acabó Matrix, esperando que verdad sea así y dejen tranquila esta saga. esta es la definición de lo que es estirar un chicle mucho y mal. la narrativa y la expansión de lo que fue el final de la trilogía es terriblemente floja, pero es que la acción de la peli es horrible…","25 Jan 2022","★★½",2
"MrGuacamole","nada nada, nos quedamos con la trilogía original y FIN","13 Mar 2024",NA,NA
"bando_92","At times I felt like I was watching some kind of Saturday Night Live sketch making fun of a Matrix sequel. Congratulations The Matrix you have joined the ranks of great 20th century movies ruined by modern Hollywood. No one can tell you how lame this is, you have to see it for yourself.","",NA,NA
NA,"Low key scratches that itch in my brain",NA,NA,NA
NA,"The Analyst : Quietly yearning for what you don't have, while dreading losing what you do. Desire and fear. Here's the thing about feelings. They're so much easier to control than facts. Turns out, in my Matrix, the worse we treat you, the more we manipulate you, the more energy you produce. It's nuts. And, the best part, zero resistance. People stay in their pods, happier than pigs in shit.",NA,NA,NA
NA,"Damn this felt like a chore to watch. It's definitely a lazy cashgrab for nostalgic fans, with zero of the appeal of the originals. They didn't even get the green tint that made the first movies so iconic right! As a matter of fact, there's no tint at all! Looks like every other generic movie. Characters? Unlikeable and forgettable. Plot? Makes the original trilogy useless. Agent Smith? An empty shell of his former self (by the way, did we really…",NA,NA,NA
NA,"Capito la critica ma secondo me non è stata efficace. È un reboottone del primo matrix. Acchiappa Fan",NA,NA,NA
"Cara","i watched this *fully* convinced i’d seen the other movies until at least an hour in.","13 Mar 2024","★★★½",3
"Gerard Coen","i had not.","29 Jan 2022","★★★★",4
"Quarentin0","i still enjoyed it a lot! it’s a nice meta commentary on nostalgia, legacy, and why i’d make sweet sweet love to everyone in its cast.","13 Mar 2024","★★",2
"Luci","Initially wasn't wowed, have grown to appreciate it since then. Nothing could ever live up to the first installment.","13 Mar 2024","★★",2
"nikki","C'est pas Matrix Résurrection c'est Matrix Régurgitation c'est si nul","12 Mar 2024","★★★½",3
"pedr_","some lines delivered like they should have been accompanied by a 4th wall break look to camera","13 Mar 2024","★",1
"Max","they truly didn't need to make any more of these past the first but it's still a serve","12 Mar 2024","★★★",3
"Christopher McCullah","ai nem sei pq eu aidna tentei ver isso","12 Mar 2024","★★★★",4
"Olivia","It drags a lot on rewatch, but hot damn the last 45 minutes are great. The ost is probably the best part of this movie, and in my opinion, better than the rest of the series in that regard.","13 Mar 2024","★★",2
"TheTruePieMan","Resurrections is an apt title for the meta storyline in this film. The studios all want to resurrect old stories that were popular years before, and try them again, lightning in a bottle.","12 Mar 2024","★★★",3
"Sal","Did they resurrect Neo and Trinity to their previous popularity among today's cynical, short attention spanned audiences? The TikTok generation may have only heard of The Matrix series, unlike those of us who were awakened to the reality of the Matrix, and its impact upon our real…","12 Mar 2024","½",0
"franchella","The original trilogy was much better tbh, they ended it perfectly, didn’t have to make another one","27 Dec 2021","★★★",3
NA,"This review may contain spoilers. I can handle the truth.",NA,NA,NA
NA,"“Smith: Now what? Things have changed. The market's tough. I'm sure you can understand why our beloved parent company, Warner Brothers, has decided to make a sequel to the trilogy.Neo: What?Smith: They informed me they're gonna to do it with or without us.Neo: I thought they couldn't do that?Smith: Oh, they can, and they made it clear they would kill our contract if we didn't cooperate.Neo: No?Smith: I know you said the story was…",NA,NA,NA
NA,"Dogass",NA,NA,NA
NA,"Que manera de cagar una saga, desde antes ya se sabía que hacer una cuarta parte era una mala idea.Y el hecho de que perjudicaron el final de a 3ra me enojó mucho",NA,NA,NA
"Sei Lá","Agora sim Matrix teve o final merecido. Vi que muitos criticaram esse filme falando que ele não tinha necessidade de ter sido feito, mas eu não acho que o final do filme anterior fazia juz à história, não pela morte de Neo e Trinity mas porque não foi abordado como se seguiu a história. Matrix teve tantas reviravoltas que me fez acreditar que acabar apenas com a morte deles, sem nada após, não fazia sentido.Esse filme finalmente conseguiu tirar…","12 Mar 2024","★★★★½",4
"mmddox","This movie sucks lol!","12 Mar 2024","★",1
"Alex Ladd","When they say “Warner Brothers” in this, I levitate every time","12 Mar 2024","★★★★",4
"SlimSoupy","Brilliant movie and the best Matrix sequel. In the world of legacy sequels, this is a true gift.","12 Mar 2024","★★★½",3
"mr_mcbucket","I thought that this was merely a director cashing in their golden goose ticket. A by-the-books reboot to generate some quick revenue for the self-aware nostalgia-bait age. I'm SO glad I was wrong. I'm SO glad this got made.","12 Mar 2024","★★★",3
"Shea Bisson","A film not only aware of what made it such a unique franchise 21 years ago, but also keenly astute as to it's place now (in our world, its own world, and its special world within its world). Meta-diving without fear,…","12 Mar 2024","★★★½",3
"Jimmy","Lots of member berry’s and reused footage. The long awaited sequel to the Matrix trilogy, how does it hold up? As someone who didn’t really expect much, I found myself pleasantly surprised, but disappointed at the same time much like the last matrix film. The action was definitely a lot weaker, the film relied on a lot of reused footage and a lot of references to the previous films rather then expand on the lore of the matrix and the…","13 Mar 2024","★½",1
"jonah3000","Very surprised with how much I enjoyed this movie. It's not Oscar winning or anything but I was expecting nothing and ended up with something. The action definitely suffers a bit in this movie and the meta-plot gets really suffocating in the first half hour, but I think the character interactions were some of the best in the series and the philosophy was updated for the modern age. Overall, strangely enjoyable.","13 Mar 2024","★★",2
"SirBoulderdash","It’s so cool how their ‘trans allegory’ ends with their thinly veiled stand-ins driving through a city gunning down brainwashed civilians en masse.","12 Mar 2024","★★★",3
"FinalF4g","The costumes were cool.","13 Mar 2024","★★",2
"melaperrr","This felt disrespectful to the ogs.","13 Mar 2024","★",1
"badninjaned","I enjoyed the meta approach at first but no so much the second half where it feels like they just dropped the interesting ideas for more of the same we're familiar with. Better than most revival reboot sequels.","12 Mar 2024","★★★",3
NA,"le budget d’un kfc ouuuu??",NA,NA,NA
NA,"si vous êtes fan de matrix ne regardez surtout pas ce film ( fin si regardez mais faites autres chose à côté TW : ennui ) et le bonus a la fin…",NA,NA,NA
NA,"Bring me young Keanu 💔",NA,NA,NA
"Jett Atmosphere","This film is just regulated garbage There are 1 or 2 things about this The film that are interesting.I'll give it that It tried and made a big effort but just let it die","12 Mar 2024","★★½",2
"Caroman","A film I enjoy thinking about immensely more than I enjoyed watching","12 Mar 2024","★★",2
"Wemeson :) !","Não fede e nem cheira, não é bom e nem é ruim, me disseram que ia ser um filme de referências/homenagem mas pra mim pareceu que só queriam dinheiro dos fãs mesmo, então a pergunta que eu me fiz quando o filme acabou foi: PRA QUÊ?","12 Mar 2024","★★½",2
"annasmell","Too confusing and monology and fighty I like the concept tho","12 Mar 2024","★★★½",3
"lucyisalive","😎🥋🤖🛸","12 Mar 2024","★★★",3
"Mark McClenaghan","I love Johnathan Groff","12 Mar 2024","★★",2
"MrPPeeps","I honestly don't know how to feel about this one. It has certain moments but also filled with alot of awfulness. It was kinda cool I guess with the nostalgic shots and reminiscing of the past movies, but that got old quick and felt like they were just recycling shots and scenes.","12 Mar 2024","★★★½",3
"Mia","I'm by no means the biggest Matrix fan in the world (although I do need to rewatch them in all honesty) so when they announced this legacy sequel thing I didn't think I'd lose any sleep giving it a miss. However, I recently realised that Jessica Henwick is in it, sooooooo...my priorities somewhat changed.","12 Mar 2024","★★★½",3
"Alejandro Hernández","But maybe being an extremely casual fan of the series is the reason why I seemingly enjoyed this more than most? Granted, I'd have personally preferred…","12 Mar 2024","★★",2
"Eddie Dwyer","My review on TikTok","12 Mar 2024","★★★★½",4
"Žiga Kastelic","Aprecio la intención del metalenguaje, pero en esta ocasión salió un poco paródico.La única Matrix buena fue la primera, intentar replicarla es un esfuerzo fútil.","30 Dec 2021","★★★",3
"carl 🤙","I WAS VERY SURPRISED THAT THEY MADE THIS BECAUSE HOW THE PREVIOUS ONE ENDED BUT I'M GLAD THEY DID THIS EPIC MOVIE DESPITE WHAT PEOPLE.","12 Mar 2024","★★★",3
NA,"Igrani dokumentarec o prvi Matrici.",NA,NA,NA
NA,"its alr but things should’ve been left how they were",NA,NA,NA
"Benji Bee","Why did i put myself through this again, this film is so insanely dumb and it just has plot points in place to make shit happen with nothing to back it up and it just leads to an incredibly messy film; it lives in the shadow of its past trilogy and even annoyingly acknowledges it a lot.","12 Mar 2024","★",1
"Tommy Loukas","This might be the best work of Keanu’s career.","12 Mar 2024","★★★½",3
"helatooo","un cashgrab heavy, pusieron lit la mitad de la 1 en flashbacks. Siento q en esta peli se pasaron x el pico las reglas del mundo, y nisiquiera explicaban como funcionaba nada, además los comic relief eran como el hoyo de fomes o como mal puestosme dio un poco de risa q la peli fuera consciente de que era una pelicula de mierda reboot, como q intentaron jugar a q no era así pero LOL! no saliome gusto…","11 Mar 2024","★★½",2
"sharrydassclsrk","meh","12 Mar 2024","★★",2
"6Jaysus9","WHHHHHYYYYYYYYY","12 Mar 2024","½",0
"raimina","the best part about this movie is the parallel casting between this and sense8","12 Mar 2024","★★½",2
"smirman","""I only wanted to see Keanu reeves because he's a gorgeous man, i didnt care about this ""matrix"" thing"" -my mom when asked ""what did you think about that movie""","12 Mar 2024","★★★★★",5
"npontrel","5/5 mom happy","","★★★",3
"Link2307","71","12 Mar 2024","★★★★",4
"iamfox1","I was apprehensive about watching this because I love the trilogy so much but it was actually a really good sequel to the original trilogy. It respects the trilogy whilst making the necessary changes.","12 Mar 2024","★★★★",4
"Schmidtzz","a particular mix of smugless self awareness and stupid action blockbuster. loved it","12 Mar 2024","★★½",2
"Linda Radebe","A ideia é boa, mas a execução foi pessima","12 Mar 2024","★★½",2
NA,"The fourth instalment of The Matrix franchise is here, and it left me frustrated and impressed at its ambition. I’m a glass half full kind of person and that’s what The Matrix: Resurrections is, a glass half full type of film. A film that’s so self-aware and recognizes its own unoriginality as a sequel to films that are considered game changing/genre defining (well the first one anyways), it’s also a film that’s got philosophical curiosities, but it never fully engages…",NA,NA,NA
"Kaká","Q filme horrível pqp, anos depois e até os efeitos visuais são piores, vai pra prr","12 Mar 2024","★★",2
"Ruok27","Way too much like if Twin Peaks was all Mark Frost. Way too stuck on lore with none of the core edge of the first movie. No we don't care for some meta narrative plot about The Matrix franchise, that's not what we're here for and it just feels like a retread of the old movies without doing anything interesting.","12 Mar 2024","★★",2
"loginme","Like the whole stopping bullets with your hands thing. It was supposed to be a cool one off trick to…","12 Mar 2024","★★★½",3
"Cielo Azul Carrillo-Perea","Keanu Reeves vai nadar na grana com John Wick 5 e Matrix 5","11 Mar 2024","★★★",3
"JordanW1998","Three stars because the shot of Keanu with the rubber duck on his head wasn’t long enough.","12 Mar 2024","★",1
"TheFlopCrusader","Below par writing below par acting terrible characters turned it off after 20 mins","11 Mar 2024","½",0
"aryanapants","Just like Keanu, I now have depression from watching this movie. Why isn’t Neil Patrick Harris prescribing me pills that will let me forget this awful cash grab that can’t stop telling you it’s a cash grab.","11 Mar 2024","½",0
"PeteyPirahna","NO!!!!!!!","11 Mar 2024","★★★★",4
"Joaozinhodbr","0/10","11 Mar 2024","★★★",3
"Charlie Harrison","It's actually amazing how much they messed this up.","11 Mar 2024","½",0
"Luisinnn","The story makes 0 sense, the acting all around sucks, the recasting for Morpheus and Smith is some of the worst miscasts I've ever seen, the action is so bad, the first act is borderline unwatchable with how much they jam in scenes from the previous movies in EVERY 5 MINUTES, the worldbuilding is somehow even more confusing than it already was, the dialogue and humor are actually painful to…","11 Mar 2024","★★★",3
"Cian Gibson","Depois de me recuperar do desastre do Matrix 3, eu tive coragem de assistir o 4 filme.....","11 Mar 2024",NA,NA
NA,"E eu gostei, vi a maioria das pessoas falando mal, (eu entendo até porque não precisava de continuação) mas é um filme divertido e assistivel, as vezes até engraçado, diferente do 3, que é um sonífero chato e sem graça, que só o final salva.",NA,NA,NA
NA,"Mas não tira o fato que esse filme não precisava existir",NA,NA,NA
NA,"Better on a rewatch, though it’s a bit too meta and based for me",NA,NA,NA
